,HINCP,AGEP,vet,period,HICOV,SEX,pregion,racepct,marital,school,emppct,poverty,dispct,haskid,hhtype,cowr
205,19200.0,74,2,3.0,1,1,4,1,1,2,3.0,0,2,1,3,1.0
206,44400.0,35,2,3.0,1,1,3,4,4,2,1.0,1,2,1,3,3.0
207,85000.0,55,2,3.0,1,2,2,1,1,2,1.0,0,2,1,1,1.0
208,64090.0,48,2,3.0,1,1,1,1,1,2,1.0,0,2,2,1,1.0
209,31000.0,39,2,3.0,2,2,2,1,1,2,1.0,0,2,2,1,2.0
210,80000.0,27,2,3.0,1,1,4,7,4,2,1.0,0,2,1,3,1.0
211,5600.0,86,2,3.0,1,2,3,1,3,2,3.0,1,2,1,3,1.0
212,34700.0,56,2,3.0,1,1,3,2,1,2,1.0,0,2,2,1,2.0
213,140700.0,23,2,3.0,1,2,4,4,4,1,1.0,0,2,2,2,1.0
214,27670.0,45,2,3.0,1,2,4,8,2,2,1.0,0,2,2,2,2.0
215,56400.0,82,2,3.0,1,1,4,8,1,2,3.0,0,1,1,1,1.0
216,42000.0,63,2,3.0,1,1,3,1,4,2,3.0,0,2,1,3,1.0
217,15700.0,55,2,3.0,1,1,4,1,1,2,1.0,1,1,1,1,1.0
218,44260.0,56,2,3.0,1,2,2,1,2,2,1.0,0,2,1,3,1.0
219,133150.0,66,2,3.0,1,1,2,1,1,2,3.0,0,1,1,1,1.0
220,61300.0,67,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
221,44900.0,78,1,4.0,1,1,4,1,1,2,3.0,0,1,1,1,1.0
222,102000.0,54,2,3.0,1,2,3,1,1,2,1.0,0,1,2,1,2.0
223,77000.0,70,2,3.0,1,2,2,1,1,2,3.0,0,2,1,1,1.0
224,387001.0,57,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,3.0
225,40900.0,73,2,3.0,1,2,2,2,2,2,3.0,0,1,1,3,1.0
226,158300.0,48,1,7.0,1,1,1,1,1,2,1.0,0,1,2,1,1.0
227,55000.0,33,2,3.0,1,2,4,1,1,2,1.0,0,2,2,1,2.0
228,101000.0,27,2,3.0,1,1,4,1,4,2,1.0,0,2,1,3,1.0
229,145000.0,55,2,3.0,1,1,3,4,1,2,2.0,0,2,2,1,1.0
230,196000.0,45,2,3.0,1,2,3,1,1,2,1.0,0,2,2,1,1.0
231,60700.0,70,2,3.0,1,1,3,1,1,2,3.0,0,2,1,1,1.0
232,48200.0,80,2,3.0,1,2,2,1,3,2,3.0,0,2,1,3,1.0
233,23400.0,63,2,3.0,1,2,1,1,1,2,3.0,0,2,1,1,1.0
234,320000.0,47,2,3.0,1,2,3,1,1,2,1.0,0,2,2,1,1.0
235,73000.0,60,2,3.0,1,2,2,1,1,2,1.0,0,1,1,1,2.0
236,51200.0,67,2,3.0,1,2,4,8,1,2,3.0,0,2,1,1,1.0
237,38000.0,65,2,3.0,1,2,4,1,4,2,1.0,0,2,1,3,1.0
238,80000.0,33,2,3.0,1,2,2,1,1,2,1.0,0,2,1,1,1.0
239,126000.0,68,2,3.0,1,2,2,1,1,2,3.0,0,1,1,1,1.0
240,112000.0,30,2,3.0,1,1,4,8,1,2,1.0,0,2,1,1,1.0
241,56300.0,54,2,3.0,2,1,2,1,1,2,2.0,0,2,2,1,3.0
242,60000.0,53,1,7.0,1,1,1,1,2,2,1.0,0,2,1,3,1.0
243,130000.0,65,2,3.0,1,1,3,1,1,2,1.0,0,1,1,1,1.0
244,35000.0,25,2,3.0,1,1,1,1,1,1,1.0,0,2,1,1,1.0
245,72600.0,34,2,3.0,1,1,3,2,4,2,1.0,0,2,1,1,1.0
246,79500.0,40,2,3.0,2,1,2,1,1,2,1.0,0,2,2,1,1.0
247,9000.0,39,2,3.0,1,2,2,1,4,2,3.0,1,1,1,3,1.0
248,156000.0,52,2,3.0,1,1,1,1,1,2,1.0,0,2,1,1,1.0
249,135000.0,44,2,3.0,1,2,4,4,1,2,1.0,0,2,2,1,2.0
250,113600.0,50,2,3.0,1,2,3,4,1,2,1.0,0,2,2,1,1.0
251,89100.0,20,2,3.0,1,2,1,1,4,1,1.0,0,2,1,2,3.0
252,57000.0,54,2,3.0,2,1,4,8,1,2,1.0,0,2,2,1,1.0
253,44600.0,74,2,3.0,1,2,4,1,1,2,1.0,0,2,1,1,2.0
254,80370.0,53,2,3.0,1,2,3,1,4,2,1.0,0,2,1,3,2.0
255,78500.0,34,2,3.0,1,2,1,1,2,2,1.0,0,2,1,2,1.0
256,18730.0,40,2,3.0,1,2,3,1,3,2,1.0,0,1,1,3,1.0
257,211650.0,37,2,3.0,1,1,4,1,4,1,1.0,0,2,1,1,1.0
258,37300.0,48,2,3.0,2,1,4,1,4,2,1.0,0,2,1,3,1.0
259,21000.0,20,2,3.0,1,2,2,1,1,2,1.0,0,2,1,1,1.0
260,209080.0,38,2,3.0,1,1,2,1,1,2,1.0,0,2,1,1,1.0
261,110900.0,67,2,3.0,1,2,4,8,3,2,3.0,0,2,2,1,1.0
262,232000.0,50,2,3.0,1,1,2,1,1,2,1.0,0,2,1,1,3.0
263,257800.0,79,2,3.0,1,2,1,1,1,2,3.0,0,2,1,1,1.0
264,152500.0,50,2,3.0,1,2,3,1,1,2,1.0,0,2,1,1,2.0
265,17000.0,73,1,3.0,1,1,1,1,4,2,3.0,0,2,1,3,1.0
266,105300.0,56,2,3.0,1,2,4,1,2,2,3.0,0,1,2,1,1.0
267,56800.0,51,2,3.0,1,2,3,1,1,2,3.0,0,1,1,1,1.0
268,30200.0,31,2,3.0,1,2,4,8,1,2,1.0,0,2,2,1,3.0
269,20000.0,58,2,3.0,1,2,1,2,4,2,1.0,0,2,1,3,1.0
270,127000.0,52,2,3.0,1,2,1,1,1,2,1.0,0,2,2,1,1.0
271,35000.0,26,2,3.0,2,2,3,2,4,2,1.0,0,2,1,3,1.0
272,8500.0,57,2,3.0,1,2,1,1,2,2,3.0,1,1,1,3,1.0
273,194801.0,79,2,3.0,1,1,2,1,1,2,3.0,0,1,1,1,1.0
274,68100.0,94,2,3.0,1,1,4,1,1,2,3.0,0,2,1,3,1.0
275,69300.0,56,1,7.0,1,1,1,1,1,2,2.0,0,2,1,1,1.0
276,94000.0,49,2,3.0,1,2,3,8,1,2,1.0,0,2,2,1,2.0
277,87640.0,37,2,3.0,1,2,1,1,2,2,1.0,0,2,1,1,1.0
278,23400.0,35,2,3.0,1,2,5,8,4,2,1.0,0,1,1,2,1.0
279,160900.0,23,2,3.0,1,2,3,1,4,2,1.0,0,2,1,1,1.0
280,186000.0,46,2,3.0,1,1,3,1,1,2,1.0,0,2,1,1,2.0
